Wavelength 	             Flux
1.723983999999999924e+03 4.766940204692570945e-03
1.725997999999999820e+03 2.151800141184493937e-03
1.728011999999999716e+03 4.757116289246800592e-03
1.730025999999999840e+03 2.550394033859878975e-03
1.732039999999999736e+03 2.617605223598907030e-03
1.734053999999999860e+03 9.689318622933634729e-04
1.736067999999999756e+03 2.743332978845986272e-03
1.738081999999999880e+03 4.781125204097911099e-03
1.740095999999999776e+03 5.473068556967501837e-03
1.742109999999999900e+03 5.214249700503708652e-03
1.744123999999999796e+03 2.934995732947083373e-03
1.746137999999999920e+03 4.206729131090184912e-03
1.748151999999999816e+03 1.539315738058284278e-03
1.750165999999999713e+03 6.996785386294606323e-05
1.752179999999999836e+03 3.065763983128487902e-03
1.754193999999999733e+03 2.505901796242868129e-03
1.756207999999999856e+03 1.582816402901329614e-03
1.758221999999999753e+03 7.650259388026084753e-04
1.760235999999999876e+03 2.049727823457065008e-03
1.762249999999999773e+03 2.563169714554074888e-03
1.764263999999999896e+03 1.444267060813111871e-03
1.766277999999999793e+03 3.120924809295017141e-04
1.768291999999999916e+03 5.173347323577629116e-04
1.770305999999999813e+03 1.401436625715431553e-03
1.772319999999999709e+03 3.729488827472308542e-03
1.774333999999999833e+03 1.991573916509861882e-03
1.776347999999999729e+03 1.926272422483657357e-03
1.778361999999999853e+03 1.948243104410505092e-03
1.780375999999999749e+03 3.116848343446492354e-03
1.782389999999999873e+03 3.507941171711416017e-03
1.784403999999999769e+03 2.834318962086716884e-03
1.786417999999999893e+03 2.720912416679098153e-03
1.788431999999999789e+03 2.921040264276456369e-03
1.790445999999999913e+03 2.949479122307553051e-03
1.792459999999999809e+03 3.559429506122517399e-03
1.794473999999999705e+03 5.070930709748127860e-03
1.796487999999999829e+03 4.095691342864817529e-03
1.798501999999999725e+03 2.120363611758030193e-03
1.800515999999999849e+03 1.527784113946240160e-03
1.802529999999999745e+03 3.137377572359335062e-03
1.804543999999999869e+03 3.664834610117996549e-03
1.806557999999999765e+03 4.180893151590747529e-03
1.808571999999999889e+03 4.214092477059818743e-03
1.810585999999999785e+03 4.266237269372202476e-03
1.812599999999999909e+03 3.969871775323851812e-03
1.814613999999999805e+03 3.412341620702928451e-03
